e,is
essere,to be
il,the
lo,the
o,or
>,>
volere,want
potere,power
dovere,must
sapere,know
italia,Italy
c',c '
the,the
andare,to go
pensare,to think
poco,little
italiano,Italian
vedere,to see
vivere,to live
trovare,to find
venire,to come
dire,to say
gente,people
problema,problem
america,America
alla,a
mettere,to put
prendere,to take
piacere,pleasure
pagare,to pay
americano,American
parlare,speak
giocare,to play
soldo,money
i,the
cosa,thing
to,to
capire,to understand
finire,to end
and,and
perchè,because
é,is
è,is
tipo,guy
of,of
l’,L'
vero,true
della,of the
una,a
credere,to believe
ferrari,ferrari
parere,opinion
cazzo,dick
piccolo,small
buono,good
arrivare,arrive
guardare,to look
ce,there is
iniziare,to start
riuscire,to success
leggere,to read
altro,other
usa,USA
tornare,return
bello,beautiful
usare,use
davvero,really
uscire,go out
livellare,level
lavorare,to work
di,of
campagna,countryside
diverso,different
aprire,to open
puntare,bet
quello,one
almeno,at least
dare,give
minuto,minute
settimana,week
contare,to count
sentire,feel
eh,huh
tanto,much
ricordare,to remember
cambiare,to change
macchinare,plot
chiedere,to ask
succedere,happen
passare,to pass
unico,single
ciò,it
situazione,situation
rispettare,respect
serio,serious
l',L'
vivo,I live
ultimo,last
perdere,to lose
quarantena,quarantine
